,degree,theta,mse_train,mse_test
0,1,-0.01806621 0.94109535 -0.05327757 0.00114021,0.10033457717135394,0.10846090273039086
1,2,-0.15398515 0.94318836 -0.12156048 -0.06104724 0.27403602 -0.00729923 0.00437215,0.016879681338991627,0.018920655351982053
2,3,-0.12894169 0.86929218 -0.12899717 0.03678761 -0.30087396 0.26532863 0.12464119 0.03870583 -0.0063439 -0.02183173,0.0021926978712997988,0.002360108347518135
3,4,-0.24076789 0.85230378 0.07298579 0.04588364 -0.07456678 -0.27853357 0.34175482 0.1171006 -0.02688043 0.04295411 0.03096164 -0.02374057 -0.01140719,0.0046500858922990905,0.0049237694487339586
